PINOUT各子表格功能说明：,
"1. 管脚信息表中描述芯片管脚编号，功能说明，以及对应管脚的配置寄存器等信息。
2. 功能信号表中描述功能信号，以及功能复用对应的芯片管脚。
3. 管脚控制寄存器描述管脚对应的寄存器地址，功能复用关系配置，驱动能力配置，以及上下拉电阻等配置。
4. 管脚默认状态描述芯片上电期间和上电后复位撤销后的管脚默认状态。",
管脚类型说明,
,
I,输入信号。
IPD,输入信号，内部下拉。
IPU,输入信号，内部上拉。
IS,输入信号，带施密特触发器。
ISPD,输入信号，带施密特触发器，内部下拉。
ISPU,输入信号，带施密特触发器，内部上垃。
O,输出信号。
OOD,输出，漏极开路。
I/O,双向输入/输出信号。
ISCUD/O,"双向输入/输出信号,带施密特触发器，可控内部上拉和下拉。"
ICUD/O,"双向输入/输出信号,可控内部上拉和下拉。"
IPD/O,双向，输入下拉。
IPU/O,双向，输入上拉。
ISPU/O,双向，输入上拉，带施密特触发器。
ISPD/O,双向，输入下拉，带施密特触发器。
IPD/OOD,双向，输入下拉，输出漏极开路。
IPU/OOD,双向，输入上拉，输出漏极开路。
IS/O,双向，输入带施密特触发器。
IS/OOD,双向，输入带施密特触发器，输出漏极开路。
CIN,Crystal Oscillator，晶振输入。
COUT,Crystal Oscillator，晶振驱动输出。
P,电源。
G,地。
