PIN NAME,Default Function,Level State,I/O type
GPIO0,BOOT0,PU,I
GPIO1,BOOT1,PU,I
GPIO2,JTAG_TCK,PD,I
GPIO3,JTAG_TDI,-,I
GPIO4,JTAG_TDO,-,O
GPIO5,JTAG_TMS,-,I
GPIO6,JTAG_RST,PU,I
GPIO7,PWM2,-,O
GPIO8,PWM3,-,O
GPIO9,PWM4,-,O
GPIO10,3D_CTRL_IN,-,I
GPIO11,3D_CTRL_OUT1,-,O
GPIO12,3D_CTRL_OUT2,-,O
GPIO13,M_CLK1,PD,O
GPIO14,OSPI_CS,-,O
GPIO15,OSPI_CLK,PD,O
GPIO16,OSPI_D0,-,I/O
GPIO17,OSPI_D1,-,I/O
GPIO18,OSPI_D2,-,I/O
GPIO19,OSPI_D3,-,I/O
GPIO20,OSPI_D4,-,I/O
GPIO21,OSPI_D5,-,I/O
GPIO22,OSPI_D6,-,I/O
GPIO23,OSPI_D7,-,I/O
GPIO24,OSPI_DQS,-,I
GPIO25,PWM5,-,O
GPIO26,MMC1_CLK,PD,O
GPIO27,MMC1_CMD,-,I/O
GPIO28,MMC1_D0,-,I/O
GPIO29,MMC1_D1,-,I/O
GPIO30,MMC1_D2,-,I/O
GPIO31,MMC1_D3,-,I/O
GPIO32,IIC0_SCL,PU,I/O
GPIO33,IIC0_SDA,PU,I/O
GPIO34,IIC1_SCL,PU,I/O
GPIO35,IIC1_SDA,PU,I/O
GPIO36,IIC3_SCL,PU,I/O
GPIO37,IIC3_SDA,PU,I/O
GPIO38,UART0_TXD,-,O
GPIO39,UART0_RXD,-,I
GPIO40,UART1_TXD,-,O
GPIO41,UART1_RXD,-,I
GPIO42,UART1_RTS,-,O
GPIO43,UART1_CTS,-,I
GPIO44,UART2_TXD,-,O
GPIO45,UART2_RXD,-,I
GPIO46,UART2_RTS,-,O
GPIO47,UART2_CTS,-,I
GPIO48,UART4_TXD,-,O
GPIO49,UART4_RXD,-,I
GPIO50,UART3_TXD,-,O
GPIO51,UART3_RXD,-,I
GPIO52,UART3_RTS,-,O
GPIO53,UART3_CTS,-,I
GPIO54,QSPI0_CS0,-,O
GPIO55,QSPI0_CLK,-,O
GPIO56,QSPI0_D0,-,I/O
GPIO57,QSPI0_D1,-,I/O
GPIO58,QSPI0_D2,-,I/O
GPIO59,QSPI0_D3,-,I/O
GPIO60,PWM0,-,O
GPIO61,PWM1,-,O
GPIO62,M_CLK2,PD,O
GPIO63,M_CLK3,PD,O
INT0,INT0,PD,I
INT1,INT1,PD,I
INT2,INT2,PD,I
INT3,INT3,PD,I
INT4,INT4,PD,I
INT5,INT5,PD,I
OUT0,OUT0,PD,O
OUT1,OUT1,PD,O
RSTN,RSTN,PU,I
TEST_EN,TEST_EN,PD,I
